Hotel,Lat,Long,Review,Stars,Price,USD,Type
Andorra Park Hotel,42.509219,1.523036,553,5,5,157,Hotel
Hesperia Andorra la Vella,42.509116,1.52924,577,5,5,100,Hotel
Hotel Plaza,42.507088,1.532624,374,4,5,120,Hotel
Hotel De L'Isard,42.507968,1.525226,348,4,3,66,Hotel
Hotel Acta Arthotel,42.507137,1.526244,453,4,4,71,Hotel
Holiday Inn Andorra,42.505857,1.519907,470,4,4,85,Hotel
Hotel Pyrenees,42.5074,1.519648,286,4,3,67,Hotel
President Hotel,42.503275,1.513525,197,4,4,47,Hotel
Hotel Sant Jordi,42.50642,1.518431,89,3,2,28,Hotel
Hotel Andorra Palace,42.50827,1.527125,60,4,3,52,Hotel
Hotel Acta Florida Andorra,42.508783,1.522177,80,4,3,60,Hotel
Zenit Diplomatic Hotel,42.504978,1.528367,160,3,4,63,Hotel
Magic Andorra Hotel,42.509354,1.530051,253,4,4,56,Hotel
Centric Atiram Hotel,42.5083,1.531454,344,4,4,79,Hotel
Andorra Center,42.507769,1.520436,332,3,4,70,Hotel
Novotel Andorra,42.50764,1.527413,346,4,4,85,Hotel
Guillem Hotel,42.535707,1.583299,3,5,4,95,Hotel
Hotel Mercure Andorra,42.507885,1.52678,202,4,4,91,Hotel
Hotel Jaume I,42.504598,1.514288,46,3,3,45,Hotel
Font del Marge Hotel,42.504409,1.515107,4,4,3,42,Hotel
Hotel Eurostars Andorra Centre,42.508031,1.524777,58,4,4,82,Hotel
Hotel Bellpi,42.503905,1.514015,14,3,3,48,Hotel
Coma-Bella Hotel Sant Julia de Loria,42.4466,1.494661,14,4,3,77,Hotel
Artic Hotel,42.506103,1.518838,5,3,3,50,Hotel
Shusski Hotel Andorra La Vella,42.534919,1.587221,4,4,4,44,Hotel
Cervol Hotel,42.503158,1.51315,154,3,3,46,Hotel
Consul Hotel,42.507496,1.522937,2,3,3,48,Hotel
Hotel Cims,42.50859,1.530739,17,3,3,49,Hotel
Hotel Flora,42.507507,1.531185,1,3,3,45,Hotel
Hotel Les Fonts,42.507499,1.531142,19,3,2,47,Hotel
Hotel Starc,42.508338,1.533162,1,2,2,45,Hotel
Hotel Roc del Sola,42.503711,1.513176,1,2,3,40,Hotel
Somriu Hotel Cassany,42.507853,1.52484,92,3,3,37,Hotel
Festa Brava,41.70185,2.843397,14,3,3,52,Hotel
Termes De Carlemany Hotel,42.50937,1.544571,5,4,4,64,Hotel
Hotel Espel,42.510635,1.542092,123,4,3,51,Hotel
Marfany,42.50856,1.53655,44,3,3,53,Hotel
Tulip Inn Andorra Delfos Hotel,42.508019,1.538667,192,4,4,55,Hotel
Exe Prisma Hotel,42.508249,1.538657,224,5,4,100,Hotel
Hotel Siracusa,42.509128,1.543259,48,3,3,32,Hotel
Hotel Eureka,42.508898,1.540238,82,3,4,53,Hotel
Hotel Roc Blanc,42.509222,1.539326,368,4,4,97,Hotel
Golden Tulip Andorra F_nix,42.509528,1.539636,175,4,4,59,Hotel
Hotel Tudel,42.508819,1.539261,53,4,3,52,Hotel
Mola Park Atiram,42.511541,1.538627,236,5,4,60,Hotel
Hotel Panorama,42.50778,1.540933,243,3,4,114,Hotel
Metropolis,42.510291,1.54081,99,4,4,58,Hotel
Grandvalira Ski Resort,42.578394,1.646131,510,Outdoor Activities,,,Attraction
Casa de la Vall,42.5066149,1.5204874,127,Landmark,,,Attraction
LA BIRRERIA ANDORRA,42.5071089,1.5213439,29,Bars,,,Attraction
Sant Esteve Church,42.5072038,1.5216923,51,Landmark,,,Attraction
Sola Irrigation Canal Trail,42.5276424,1.5206606,13,Outdoor Activities,,,Attraction
Casa de la Calle,42.464857,1.491348,14,Landmark,,,Attraction
Cca - Centre Comercial Andorra,42.5082301,1.5303401,23,Shopping,,,Attraction
Karting Grandvalira,42.506317,1.521835,6,Outdoor Activities,,,Attraction
Bus Turistico Tours,42.506317,1.521835,15,Outdoor Activities,,,Attraction
Grans Magatzems Pyr_n_es,42.507873,1.523679,48,Shopping,,,Attraction
Fountain Circuit 1 Trail,42.506317,1.521835,7,Outdoor Activities,,,Attraction
Coll Arenys,42.5088588,1.5191881,3,Outdoor Activities,,,Attraction
Pla_a del Poble,42.5067779,1.5222804,10,Plaza,,,Attraction
Pla_a de la Rotonda,42.5086133,1.5292124,10,Plaza,,,Attraction
Poliesportiu d'Andorra,42.5049937,1.517555,3,Sport,,,Attraction
Pavell_ Joan Alay,42.5049937,1.517555,3,Sport,,,Attraction
Pont d'Engordany,42.5091307,1.5399508,3,Landmark,,,Attraction
Pont de la Tosca,42.509447,1.5418069,3,Landmark,,,Attraction
Complex Esportiu Prat del Roure,42.5092335,1.5371291,3,Sport,,,Attraction
Centre Termol_dic Caldea(Massage),42.5094549,1.5368931,90,Spa,,,Attraction
IN_U,42.5094549,1.5368931,4,Spa,,,Attraction
El Crosto,42.5081367,1.5221802,193,5,,,Restaurant
L'Escenari de Pizzes,42.509467,1.5301592,288,5,,,Restaurant
La Botiga Del Te,42.5081499,1.5225895,39,5,,,Restaurant
Bodega Poblet,42.5088043,1.5213249,150,5,,,Restaurant
Restaurant Eximi,42.5081963,1.5224501,315,5,,,Restaurant
"Placeta Monj_, 3",42.5069248,1.5207842,45,5,,,Restaurant
El Burg,42.50457,1.5151098,41,5,,,Restaurant
Plat'in,42.5074095,1.5312165,168,5,,,Restaurant
Versailles,42.5078915,1.5220869,143,5,,,Restaurant
El Raval,42.5075853,1.5292014,12,5,,,Restaurant
And Burger Zero,42.508033,1.5222998,241,5,,,Restaurant
Restaurant El Cap Bo,42.5088681,1.53232,25,5,,,Restaurant
Restaurant Tatu,42.5051858,1.5253919,8,5,,,Restaurant
Pizzeria Primavera,42.5070386,1.5299884,78,4,,,Restaurant
Restaurant Ca La Conxita,42.5088152,1.5197177,53,5,,,Restaurant
l' Arrosseria,42.5071575,1.5192745,109,4,,,Restaurant
Can Manel,42.5064079,1.5131898,97,5,,,Restaurant
La Cava Andorra,42.5083325,1.5197924,98,5,,,Restaurant
Quarts de Quinze,42.508284,1.521535,33,5,,,Restaurant
Bufet El Grill,42.5078726,1.5215328,138,4,,,Restaurant
Taberna Angel Belmonte,42.5073769,1.4966052,151,4,,,Restaurant
Eatalian Republic,42.5070396,1.5239292,68,5,,,Restaurant
The Family Arms,42.5074723,1.4491193,96,4,,,Restaurant
La Borda Pairal 1630,42.5054023,1.5196576,84,4,,,Restaurant
L'Alternativa,42.5081503,1.5196952,24,5,,,Restaurant
La Adelita Andorra,42.5077641,1.5197941,103,4,,,Restaurant
